2021-03-11 20:21:48, {'time': '20:21:47', 0: 79.903, 1: -1809.4, 2: 65.655}
2021-03-11 20:22:03, {'time': '20:22:02', 0: 79.92, 1: -1809.4, 2: 65.664}
2021-03-11 20:22:18, {'time': '20:22:18', 0: 79.941, 1: -1809.4, 2: 65.674}
2021-03-11 20:22:33, {'time': '20:22:33', 0: 79.965, 1: -1809.4, 2: 65.687}
2021-03-11 20:22:48, {'time': '20:22:48', 0: 79.986, 1: -1809.4, 2: 65.696}
2021-03-11 20:23:03, {'time': '20:23:03', 0: 80.011, 1: -1809.4, 2: 65.705}
2021-03-11 20:23:18, {'time': '20:23:18', 0: 80.035, 1: -1809.4, 2: 65.714}
2021-03-11 20:23:33, {'time': '20:23:33', 0: 80.053, 1: -1809.4, 2: 65.723}
2021-03-11 20:23:48, {'time': '20:23:48', 0: 80.08, 1: -1809.4, 2: 65.732}
2021-03-11 20:24:03, {'time': '20:24:03', 0: 80.109, 1: -1809.4, 2: 65.741}
2021-03-11 20:24:18, {'time': '20:24:15', 0: 80.127, 1: -1809.4, 2: 65.746}
2021-03-11 20:24:33, {'time': '20:24:30', 0: 80.146, 1: -1809.4, 2: 65.755}
2021-03-11 20:24:48, {'time': '20:24:45', 0: 80.172, 1: -1809.4, 2: 65.766}
2021-03-11 20:25:03, {'time': '20:25:00', 0: 80.19, 1: -1809.4, 2: 65.772}
2021-03-11 20:25:18, {'time': '20:25:15', 0: 80.206, 1: -1809.4, 2: 65.779}
2021-03-11 20:25:33, {'time': '20:25:30', 0: 80.22, 1: -1809.4, 2: 65.786}
2021-03-11 20:25:48, {'time': '20:25:46', 0: 80.233, 1: -1809.4, 2: 65.791}
2021-03-11 20:26:03, {'time': '20:26:01', 0: 80.247, 1: -1809.4, 2: 65.799}
